iter	Passed	Remaining
0	64	32337
1	73	18394
2	80	13381
3	85	10594
4	91	9074
5	97	8044
6	101	7147
7	107	6595
8	111	6107
9	123	6030
10	129	5749
11	172	7013
12	180	6752
13	187	6503
14	189	6128
15	191	5793
16	193	5502
17	194	5218
18	197	4997
19	199	4789
20	201	4600
21	204	4437
22	206	4284
23	208	4126
24	210	3999
25	212	3874
26	215	3771
27	217	3665
28	218	3550
29	220	3456
30	223	3375
31	224	3289
32	226	3201
33	228	3127
34	230	3066
35	232	2998
36	235	2943
37	237	2881
38	239	2832
39	241	2776
40	242	2719
41	245	2674
42	248	2640
43	250	2597
44	253	2562
45	255	2522
46	257	2483
47	261	2458
48	262	2415
49	265	2385
50	268	2361
51	271	2337
52	273	2305
53	275	2272
54	277	2246
55	280	2222
56	282	2194
57	284	2166
58	287	2146
59	288	2116
60	290	2093
61	293	2071
62	295	2050
63	297	2026
64	299	2007
65	302	1988
66	304	1967
67	306	1947
68	309	1930
69	311	1914
70	312	1888
71	314	1870
72	317	1855
73	319	1837
74	321	1819
75	323	1803
76	325	1789
77	327	1772
78	330	1760
79	332	1745
80	335	1733
81	337	1720
82	340	1708
83	342	1695
84	344	1680
85	346	1669
86	349	1657
87	351	1645
88	353	1633
89	356	1622
90	358	1611
91	360	1600
92	363	1590
93	365	1578
94	367	1566
95	369	1554
96	371	1544
97	373	1533
98	376	1526
99	379	1516
100	381	1506
101	382	1492
102	384	1482
103	386	1471
104	388	1462
105	391	1453
106	392	1443
107	395	1436
108	398	1428
109	400	1419
110	402	1410
111	404	1401
112	407	1394
113	409	1385
114	411	1378
115	413	1369
116	416	1361
117	418	1354
118	420	1346
119	422	1337
120	424	1330
121	427	1323
122	429	1315
123	431	1308
124	433	1299
125	435	1293
126	437	1286
127	439	1277
128	442	1271
129	443	1263
130	445	1255
131	447	1247
132	449	1239
133	451	1233
134	453	1226
135	455	1219
136	457	1213
137	460	1207
138	462	1200
139	464	1194
140	466	1188
141	468	1181
142	470	1174
143	472	1167
144	473	1159
145	475	1153
146	477	1147
147	479	1139
148	480	1132
149	483	1127
150	485	1121
151	487	1116
152	489	1111
153	492	1106
154	494	1100
155	496	1095
156	499	1090
157	501	1085
158	503	1080
159	506	1075
160	507	1069
161	510	1064
162	512	1059
163	514	1054
164	517	1049
165	519	1044
166	521	1039
167	523	1033
168	524	1027
169	527	1023
170	529	1019
171	531	1013
172	533	1008
173	536	1004
174	538	999
175	540	995
176	543	991
177	545	986
178	547	982
179	549	977
180	551	972
181	553	967
182	555	961
183	557	957
184	559	953
185	562	949
186	564	944
187	565	939
188	569	936
189	570	930
190	572	926
191	574	921
192	576	917
193	578	912
194	581	908
195	583	904
196	585	899
197	587	895
198	589	891
199	591	887
200	594	884
201	596	879
202	598	875
203	600	871
204	602	867
205	604	862
206	607	859
207	609	855
208	610	850
209	613	846
210	615	843
211	617	838
212	619	834
213	621	830
214	624	827
215	627	824
216	629	821
217	631	817
218	633	813
219	635	809
220	637	804
221	639	800
222	642	797
223	643	793
224	646	789
225	648	786
226	650	782
227	652	778
228	654	774
229	657	771
230	658	767
231	661	764
232	663	760
233	665	756
234	667	752
235	669	748
236	671	745
237	674	742
238	676	738
239	678	735
240	680	731
